,pageid,RAKE_keywords
53,98407,"[('versuchte venedig', 0.00047619047619047673), ('venedig führte', 0.0011255411255411262), ('venedig erstmals', 0.0011255411255411262), ('venedig bestand', 0.0011255411255411262), ('führte venedig', 0.0011255411255411262), ('venedig verlor', 0.001341991341991342), ('venedig verbündete', 0.001341991341991342), ('venedig hinaus', 0.001341991341991342), ('setzte venedig', 0.001341991341991342), ('republik venedig', 0.001341991341991342)]"
54,1935969,"[('deutschen juden', 0.00047619047619047673), (': „', 0.0008994708994709), ('( deutschen', 0.002380952380952381), ('november „', 0.0028042328042328047), ('juden “', 0.0028042328042328047), ('000 juden', 0.0034391534391534397), ('reich :', 0.003650793650793651), ('deutschen reich', 0.003650793650793651), ('november 1938', 0.003862433862433863), (': deutschland', 0.004074074074074075)]"
55,3375,"[('main ).', 0.00047619047619047673), ('main (', 0.0008994708994709), ('main liegen', 0.0011111111111111115), ('main verläuft', 0.0013227513227513233), ('main ),', 0.0013227513227513233), ('„ main', 0.001534391534391535), ('main erreicht', 0.001957671957671958), ('weißen main', 0.00216931216931217), ('roten main', 0.00216931216931217), ('main überspannen', 0.00216931216931217)]"
56,18801,"[('todesstrafe :', 0.00047619047619047673), ('todesstrafe „', 0.0007867494824016575), ('todesstrafe abgeschafft', 0.0013043478260869568), ('todesstrafe könne', 0.0014078674948240178), ('todesstrafe “', 0.0017184265010351974), ('todesstrafe –', 0.0018219461697722573), ('todesstrafe verhängt', 0.0018219461697722573), ('todesstrafe führte', 0.001925465838509317), ('todesstrafe blieb', 0.001925465838509317), ('todesstrafe verboten', 0.0020289855072463782)]"
57,2061314,"[('tuberkulose (', 0.0004761904761904756), ('tuberkulose –', 0.0037950937950937944), ('tuberkulose bzw', 0.00393939393939394), ('aktive tuberkulose', 0.00393939393939394), ('000 tuberkulose', 0.0040836940836940835), ('tuberkulose verursacht', 0.004227994227994227), ('tuberkulose selten', 0.004227994227994227), ('tuberkulose fand', 0.004227994227994227), ('tuberkulose erkranken', 0.004227994227994227), ('tuberkulose durchgeführt', 0.004227994227994227)]"
58,2765,"[('): karl', 0.00047619047619047673), ('karl setzte', 0.0008902691511387162), ('wobei karl', 0.001028295376121463), ('karl zog', 0.001028295376121463), ('karl sogar', 0.001028295376121463), ('karl ebenfalls', 0.001028295376121463), ('karl bemühte', 0.00116632160110421), ('paderborn karl', 0.0013043478260869568), ('ließ karl', 0.0013043478260869568), ('karl unterhielt', 0.0013043478260869568)]"
59,140,"[('( aristoteles', 0.00047619047619047673), (': (', 0.0023664122137404585), ('form (', 0.0036750272628135227), ('1 (', 0.0038204289349327526), ('( iii', 0.0038204289349327526), ('( ii', 0.0038204289349327526), ('( 1', 0.0038204289349327526), ('veränderung (', 0.0038931297709923676), ('einzelding (', 0.0038931297709923676), ('eigenschaften (', 0.0038931297709923676)]"
60,30078,"[('deutschen revolution', 0.00047619047619047673), ('revolution 1848', 0.0008902691511387173), ('1848 :', 0.0015113871635610775), ('österreichischen revolution', 0.0031677018633540378), ('badischen revolution', 0.0033747412008281576), ('märz :', 0.0035817805383022783), ('deutschen liberalen', 0.0035817805383022783), ('sozialen revolution', 0.003788819875776398), ('märz 1848', 0.003788819875776398), ('juni :', 0.003788819875776398)]"
61,141876,"[('( weser', 0.00047619047619047673), ('weser gebaut', 0.0012320483749055189), ('weser oberhalb', 0.002743764172335601), ('namen weser', 0.0028949357520786103), ('weser führt', 0.003046107331821618), ('weser befinden', 0.003046107331821618), ('weser entstand', 0.003197278911564626), ('unteren weser', 0.003197278911564626), ('weser unterhalb', 0.003348450491307635), ('weser stand', 0.003348450491307635)]"
62,37011,"[('stadt bordeaux', 0.00047619047619047673), ('bordeaux :', 0.0013265306122448983), ('bordeaux liegt', 0.0023469387755102045), ('bordeaux befindet', 0.0023469387755102045), ('toulouse bordeaux', 0.002857142857142858), ('jahrhundert bordeaux', 0.002857142857142858), ('bordeaux 2003', 0.002857142857142858), ('universität bordeaux', 0.0030272108843537415), ('bordeaux verläuft', 0.0030272108843537415), ('bordeaux finden', 0.0030272108843537415)]"
63,12672,"[('.“ bismarck', 0.00047619047619047673), ('setzte bismarck', 0.0006525573192239864), ('versuchte bismarck', 0.0007407407407407407), ('ließ bismarck', 0.0007407407407407407), ('könig bismarck', 0.0007407407407407407), ('bismarck versuchte', 0.0007407407407407407), ('bismarck 1862', 0.0007407407407407407), ('bismarck legte', 0.000828924162257496), ('bismarck blieb', 0.000828924162257496), ('spielte bismarck', 0.0010052910052910059)]"
64,25087,"[('taxa :', 0.0004761904761904756), (': taxa', 0.0004761904761904756), ('taxa lässt', 0.0024812030075187963), ('taxa bakterien', 0.0024812030075187963), ('verschiedenen taxa', 0.0029824561403508764), ('taxa erfolgte', 0.0029824561403508764), ('taxa einfließen', 0.0029824561403508764), ('paraphyletische taxa', 0.0029824561403508764), ('monophyletische taxa', 0.0029824561403508764), ('meisten taxa', 0.0029824561403508764)]"
65,21368,"[('jahrhunderts (', 0.00047619047619047673), ('( meist', 0.00047619047619047673), ('2 (', 0.000828924162257496), ('dur (', 0.0011816578483245155), ('cellosonate (', 0.0011816578483245155), ('cellokonzert (', 0.0011816578483245155), ('( 1991', 0.0011816578483245155), ('zonen (', 0.001534391534391535), ('stückes (', 0.001534391534391535), ('obergriff (', 0.001534391534391535)]"
